	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Reep1	137.023441982007	0.726003413886334	0.162849197757342	4.4581331924529	8.26765264097323e-06	0.000692317484245306
Apcdd1	85.7971171674667	0.725304723316862	0.220688016056757	3.28656143761937	0.00101418647757219	0.0350007802312269
Cc2d2a	76.6664206027721	0.716091573043291	0.220400247058221	3.24905068211711	0.00115790845643836	0.0388950151365782
Tpk1	81.7668433087443	0.707523233040897	0.213022153897381	3.32135986842821	0.000895799531419996	0.0319850451980114
Gpat2	118.234959266777	0.706215284590391	0.170000270972747	4.15420093479501	3.264262388015e-05	0.00227175507961103
Cpxm1	117.707423699925	0.699597679792153	0.17559112013724	3.98424293463904	6.7695593092969e-05	0.00421390090102606
En2	105.866325110501	0.68236229615519	0.183372992548769	3.72117118595702	0.000198300950338345	0.0100367934576804
Dctd	339.747291046186	0.677257575650262	0.107359811051682	6.30829701557724	2.82122419423188e-10	7.63249653162578e-08
Ube1y1	247.257168106046	0.656965105751659	0.124756233121127	5.26599023804931	1.39435693782032e-07	1.96158134012562e-05
Ppfibp2	97.477179158594	0.653402207088176	0.19426853629138	3.36339697390909	0.000769895670383863	0.0286531542088894
Ap3b2	273.959864764277	0.644184719105481	0.119010874054218	5.41282235110724	6.20390326408039e-08	9.69739012434254e-06
Maml2	100.850571482385	0.64286427172321	0.189619893555981	3.39027862355285	0.000698216209474314	0.0269849055903424
Fkbp6	111.205494603465	0.638775967502357	0.17950062233691	3.55862814950814	0.000372796888410317	0.0168633653574159
Zfp951	98.2323463694765	0.627666414766608	0.186501116998742	3.36548340764545	0.00076409662588895	0.02858859397076
Pam	157.53215928377	0.618129344979236	0.148866184141318	4.15224819890896	3.2922491314817e-05	0.00227175507961103
Diap2	456.870684486291	0.613991372059407	0.0919122722996392	6.68018923585917	2.3863390403918e-11	6.71420352404638e-09
Mme	521.141006050794	0.610289450255513	0.0876939944075037	6.95930724080795	3.41950035380974e-12	1.09330752221353e-09
Naa11	108.650986411136	0.608649130134113	0.177758212953798	3.42402817861535	0.000617002228196341	0.0247293086788209
Nefl	602.263363114195	0.606605707197859	0.0865667522325035	7.00737513599471	2.42830559502953e-12	7.94451235136638e-10
Plekhb2	290.236662078687	0.600605570202452	0.113968314865252	5.26993463852268	1.36472346721848e-07	1.93928583200299e-05
Cttnbp2	134.056411783273	0.59940705647115	0.175009258565227	3.42500197638257	0.000614794948249726	0.0247293086788209
Frem2	349.409844366131	0.59187903955389	0.118568900500508	4.9918573677872	5.98014111479797e-07	7.3155326263459e-05
Ddah1	307.452016863361	0.589990951802614	0.117529996383542	5.01991806310677	5.16935246011247e-07	6.43561508043029e-05
Mtus2	106.103014549842	0.589773305480983	0.181529101130329	3.24891877835916	0.00115844550342808	0.0388950151365782
Lamb1	224.521886610823	-0.589716176220443	0.128459205811847	-4.5906883239197	4.41786633535194e-06	0.000398400920549558
Pfkl	371.704667491374	-0.594964084482484	0.109887259731371	-5.41431359683482	6.15242576818786e-08	9.69739012434254e-06
D17H6S56E-5	179.852038360616	-0.603059560878074	0.140925619910289	-4.27927555870944	1.87502607069391e-05	0.00140307801928308
Tfrc	2884.89624209577	-0.606366097183992	0.124203327711102	-4.88204389011544	1.04991879236126e-06	0.000120083394885676
Arl4a	124.597331205109	-0.642179373571162	0.168823294424434	-3.80385524261052	0.000142461449554045	0.00779823997014125
Bahcc1	137.758521757958	-0.64348736687974	0.168169316396975	-3.82642553746691	0.000130017454512072	0.00728719342659695
Atp5k	102.09411951076	-0.657296042435332	0.20775200692261	-3.16384930365646	0.00155697390451293	0.0478242552154759
Rtkn	206.640921001778	-0.677223136162348	0.146541426153848	-4.62137672559129	3.81201823693952e-06	0.000350506356583433
S100a10	153.785290857652	-0.684420798243087	0.1578678835221	-4.3354023818738	1.45493731147514e-05	0.00111847312010012
2810417H13Rik	97.1852467995706	-0.736781992998962	0.193579144674979	-3.80610212032925	0.00014117411100081	0.00775795856859141
Podxl	119.809765018065	-0.745018895072938	0.179993438383809	-4.13914474751182	3.48602960701051e-05	0.00236915287494801
Narf	77.7183425483206	-0.760575161939419	0.214223956088689	-3.55037399096738	0.0003846842426204	0.0172898975245488
Camk2b	128.407286984014	-0.762588130679701	0.172431560486565	-4.4225554099716	9.75403228954272e-06	0.000792292112272235
Ldha	1165.54157985795	-0.796594224922691	0.0645253778188283	-12.3454406909377	5.1551189801164e-35	1.03603162588968e-31
Lgals1	192.92064473779	-0.824701758327643	0.143315566983208	-5.75444646863989	8.6926144059571e-09	1.6090486771448e-06
Wdr86	55.5488845713972	-0.89860865836545	0.278620927012077	-3.22520159559479	0.00125883991409252	0.0412805592341574
Gng3	39.1311856443578	-1.01983207474131	0.312222986143776	-3.26635808380773	0.00108940397074005	0.0371354014139696
Tgm3	70.8010375332993	-1.01984797403472	0.256929566777267	-3.96936789652874	7.20635455925933e-05	0.00444644719033598
Celf5	50.0488760792637	-1.10598644536271	0.275106605108878	-4.02021043778647	5.81461784706173e-05	0.00370135945124274
Ndrg4	46.8372005594417	-1.18793527024121	0.278997814536115	-4.25786586255654	2.06387718227408e-05	0.00152013739268229
Lefty1	56.243700826441	-1.3258608053126	0.296545513849218	-4.47101960202556	7.7847561973284e-06	0.000659734639662747
Lefty2	157.681872649767	-1.35291216588938	0.185557059794785	-7.29108430250845	3.07470287602655e-13	1.16905189351193e-10
Slc16a3	15.2674368444791	-2.42582118022633	0.58377593102338	-4.15539773278042	3.24722166457714e-05	0.00227175507961103
